0.000813841, 0.000226085, 9.96014e-05, 5.55026e-05, 3.52924e-05, 2.43992e-05, 1.7869e-05, 
1.36489e-05, 1.07651e-05, 8.70762e-06, 7.18847e-06, 6.03496e-06, 5.13849e-06, 4.42798e-06, 
3.85532e-06, 3.38702e-06, 2.99917e-06, 2.67434e-06, 2.39959e-06, 2.16511e-06, 1.96341e-06, 
1.78864e-06, 1.63622e-06, 1.50248e-06, 1.38451e-06, 1.2799e-06, 1.18672e-06, 1.10336e-06, 
1.02849e-06, 9.60987e-07, 8.99921e-07, 8.44497e-07, 7.94041e-07, 7.47977e-07, 7.05808e-07, 
6.67109e-07, 6.31507e-07, 5.98681e-07, 5.68351e-07, 5.40269e-07, 5.14219e-07, 4.90007e-07, 
4.67468e-07, 4.46448e-07, 4.26815e-07, 4.08449e-07, 3.91244e-07, 3.75103e-07, 3.59942e-07, 
3.45682e-07, 3.32252e-07, 3.1959e-07, 3.07639e-07, 2.96346e-07, 2.85663e-07, 2.75548e-07, 
2.65961e-07, 2.56865e-07, 2.48229e-07, 2.40021e-07, 2.32215e-07, 2.24785e-07, 2.17706e-07, 
2.10956e-07, 2.04515e-07, 1.98364e-07, 1.92487e-07, 1.86867e-07, 1.8149e-07, 1.76342e-07, 
1.71409e-07, 1.66681e-07, 1.62146e-07, 1.57793e-07, 1.53613e-07, 1.49597e-07, 1.45737e-07, 
1.42024e-07, 1.38451e-07, 1.35012e-07, 1.31699e-07, 1.28506e-07, 1.25428e-07, 1.22459e-07, 
1.19595e-07, 1.1683e-07, 1.1416e-07, 1.1158e-07, 1.09086e-07, 1.06676e-07, 1.04344e-07, 
1.02088e-07, 9.99045e-08, 9.77902e-08, 9.57423e-08, 9.3758e-08, 9.18348e-08, 8.99702e-08, 
8.81618e-08, 8.64074e-08, 8.47048e-08, 8.30521e-08, 8.14472e-08, 7.98885e-08, 7.8374e-08, 
7.69023e-08, 7.54716e-08, 7.40804e-08, 7.27274e-08, 7.14111e-08, 7.01302e-08, 6.88834e-08, 
6.76697e-08, 6.64877e-08, 6.53364e-08, 6.42148e-08, 6.31218e-08, 6.20564e-08, 6.10179e-08, 
6.00051e-08, 5.90174e-08, 5.80539e-08, 5.71137e-08, 5.61963e-08, 5.53007e-08, 5.44264e-08, 
5.35727e-08, 5.27389e-08, 5.19244e-08, 5.11286e-08, 5.0351e-08, 4.9591e-08, 4.88481e-08, 
4.81217e-08, 4.74115e-08, 4.67168e-08, 4.60373e-08, 4.53725e-08, 4.4722e-08, 4.40854e-08, 
4.34623e-08, 4.28523e-08, 4.22551e-08, 4.16702e-08, 4.10974e-08, 4.05364e-08, 3.99868e-08, 
